Categoría: Todas las categorías

Mes,dollar to mexican peso: (Estados Unidos)
2004-01,9
2004-02,6
2004-03,4
2004-04,3
2004-05,0
2004-06,5
2004-07,0
2004-08,5
2004-09,0
2004-10,7
2004-11,2
2004-12,4
2005-01,8
2005-02,0
2005-03,3
2005-04,6
2005-05,7
2005-06,2
2005-07,4
2005-08,3
2005-09,0
2005-10,3
2005-11,7
2005-12,4
2006-01,5
2006-02,3
2006-03,6
2006-04,4
2006-05,2
2006-06,7
2006-07,5
2006-08,3
2006-09,2
2006-10,7
2006-11,3
2006-12,5
2007-01,4
2007-02,5
2007-03,1
2007-04,6
2007-05,7
2007-06,2
2007-07,5
2007-08,6
2007-09,5
2007-10,6
2007-11,7
2007-12,7
2008-01,3
2008-02,12
2008-03,9
2008-04,5
2008-05,10
2008-06,8
2008-07,8
2008-08,5
2008-09,9
2008-10,14
2008-11,10
2008-12,12
2009-01,11
2009-02,16
2009-03,13
2009-04,19
2009-05,11
2009-06,10
2009-07,8
2009-08,11
2009-09,14
2009-10,13
2009-11,7
2009-12,11
2010-01,15
2010-02,12
2010-03,17
2010-04,10
2010-05,15
2010-06,18
2010-07,12
2010-08,10
2010-09,12
2010-10,13
2010-11,15
2010-12,10
2011-01,11
2011-02,14
2011-03,13
2011-04,15
2011-05,13
2011-06,14
2011-07,15
2011-08,19
2011-09,17
2011-10,20
2011-11,16
2011-12,14
2012-01,18
2012-02,15
2012-03,14
2012-04,15
2012-05,19
2012-06,21
2012-07,15
2012-08,17
2012-09,16
2012-10,17
2012-11,13
2012-12,14
2013-01,21
2013-02,17
2013-03,17
2013-04,20
2013-05,22
2013-06,19
2013-07,16
2013-08,21
2013-09,22
2013-10,21
2013-11,21
2013-12,18
2014-01,18
2014-02,21
2014-03,25
2014-04,20
2014-05,17
2014-06,21
2014-07,19
2014-08,18
2014-09,16
2014-10,17
2014-11,17
2014-12,34
2015-01,33
2015-02,27
2015-03,32
2015-04,31
2015-05,30
2015-06,32
2015-07,41
2015-08,46
2015-09,35
2015-10,32
2015-11,37
2015-12,37
2016-01,63
2016-02,51
2016-03,47
2016-04,36
2016-05,47
2016-06,52
2016-07,43
2016-08,36
2016-09,53
2016-10,40
2016-11,94
2016-12,50
2017-01,74
2017-02,54
2017-03,52
2017-04,47
2017-05,43
2017-06,48
2017-07,45
2017-08,44
2017-09,38
2017-10,45
2017-11,42
2017-12,47
2018-01,47
2018-02,43
2018-03,43
2018-04,48
2018-05,52
2018-06,62
2018-07,52
2018-08,49
2018-09,39
2018-10,45
2018-11,48
2018-12,49
2019-01,44
2019-02,39
2019-03,42
2019-04,45
2019-05,40
2019-06,43
2019-07,42
2019-08,42
2019-09,41
2019-10,35
2019-11,37
2019-12,34
2020-01,36
2020-02,41
2020-03,100
2020-04,69
2020-05,56
2020-06,54
2020-07,65
2020-08,53
2020-09,56
2020-10,58
2020-11,56
2020-12,59
2021-01,62
2021-02,60
2021-03,65
2021-04,58
2021-05,60
2021-06,61
2021-07,62
2021-08,51
2021-09,47
2021-10,54
2021-11,59
2021-12,51
2022-01,44
2022-02,45
2022-03,63
